,nom,themes_libe,lieu,codepostal,ouverturealannee,precisions_tarifs,services,url_site,tel,mail,adresse,location_latlong
115,PIZZ'ARIA,Restauration rapide,SUCE-SUR-ERDRE,44240,oui,,Plats à emporter,,02 40 77 50 41,,28 rue Descartes,"[47.3411575, -1.5260727]"
116,AU BUREAU,Brasserie,NANTES,44000,oui,,"Banquet, Climatisation, Service en terrasse, WiFi",https://www.aubureaunantes.fr/,02 28 08 70 76,,10 Quai François Mitterrand,"[47.2079931, -1.5593072]"
117,BATEAUX NANTAIS,Cuisine traditionnelle,NANTES CEDEX 1,44000,,,,www.bateaux-nantais.fr,02 40 14 51 14,commercial@bateaux-nantais.fr,Quai de la Motte Rouge,"[47.2280015, -1.551488]"
118,BELLE DE JOUR,Cuisine traditionnelle,NANTES,44100,,,,www.belledejour.org,02 40 14 84 49,info@belledejour.org,4 place du 51e Régiment d'Artillerie,"[47.2287715, -1.5398102]"
119,CAFÉ BÉCOT,,NANTES,44100,,,,www.cafebecot.fr,02 51 17 83 81,hello@cafebecot.fr,1 rue du Cheval Blanc,"[47.2169398, -1.5560464]"
120,CAFÉ DE L'ORANGERIE,Cuisine traditionnelle,NANTES,44000,,,,,02 28 44 27 08,,15 rue Gambetta,"[47.2211717, -1.5439876]"
121,CAFÉ – RESTAURANT LE PETIT JARDIN,Cuisine traditionnelle,SAINT-SEBASTIEN-SUR-LOIRE,44230,oui,"Menu adulte du jour (midi en semaine)||||||Entrée Plat, Plat dessert ou Entrée-Plat Dessert","Service en terrasse, WiFi",www.resto-lepetitjardin.fr,02 40 56 40 21,contact@resto-lepetitjardin.fr,"97B route de Clisson,","[47.1909928, -1.5216099]"
122,L'ECLUSE,Cuisine traditionnelle,VERTOU,44120,,,,https://www.eclusevertou.com,02 40 34 40 70,,9 Quai Chaussée des Moines,"[47.1686207, -1.4809551]"
123,L'INSTINCT GOURMAND,Cuisine traditionnelle,NANTES,44000,oui,,"Climatisation, Plats à emporter, Service en terrasse",http://www.linstinctgourmand.com,02 40 47 41 64,,14 rue Saint-Léonard,"[47.2172576, -1.5554949]"
124,LE 20,Cuisine traditionnelle,SAINTE-LUCE-SUR-LOIRE,44980,oui,,,,02 40 25 81 56,,20 rue de la Jalousie,"[47.2659786, -1.485968]"
125,LE BOUQUET GARNI,Cuisine traditionnelle,LA CHAPELLE-SUR-ERDRE,44240,,,,,02 40 77 88 99,,38 rue Martin Luther King,"[47.2972462, -1.552015]"
126,LE CORALY,,REZE,44400,,,,www.restaurant-le-coraly.fr,02 40 05 15 37,restaurant_lecoraly@outlook.fr,131 rue Aristide Briand,"[47.1775173, -1.5439832]"
127,LE GRAPPILLON,Cuisine du Monde,NANTES,44000,non,,"Plats à emporter, Service en terrasse",https://www.facebook.com/LeGrappillon44/,02 51 84 27 95,,4 rue Kléber,"[47.2239586, -1.5408058]"
128,LE PETIT BOUCOT,,NANTES,44100,,,,www.lepetitboucot.com,02 53 97 04 04,contact@lepetitboucot.com,3 rue Lekain,"[47.2144787, -1.5628399]"
129,LE REFLET,Cuisine traditionnelle,NANTES,44000,oui,,"Climatisation, Plats à emporter, Séminaire, Service en terrasse, WiFi",www.restaurantlereflet.fr,02 40 20 33 86,restaurant.lereflet@gmail.com,4 rue des 3 Croissants,"[47.2169365, -1.5548824]"
130,LE TRANSITION,,NANTES,44100,,,,www.le-transition-restaurant-nantes.com,02 40 20 41 58,,11 bis rue de la Bastille,"[47.218434, -1.565378]"
131,LULU ROUGET,Cuisine traditionnelle,NANTES,44000,,,,https://www.lulurouget.fr,02 40 47 47 98,contact@lulurouget.fr,1 rue du Cheval Blanc,"[47.2170069, -1.5559581]"
132,O BISTROT QUAI,,NANTES,44100,,,,www.obistrotquai.fr,02 53 78 50 90,,26 boulevard Stalingrad,"[47.2179554, -1.5429548]"
133,AMANDINE RESTAURANT,,NANTES,44300,,,,http://www.brithotel.fr,02 40 50 07 07,,45 Boulevard des Batignolles,"[47.254493, -1.5282982]"
134,ART’N’BLUM,Cuisine traditionnelle,NANTES,44100,,,,www.restaurant-artnblum.com,02 40 89 41 56,restaurant.artnblum@gmail.com,10 rue Léon Blum,"[47.2192413, -1.5549187]"
135,AUX P'TITS JOUEURS,Bistrot / bar à vin,NANTES,44000,non,,"Banquet, Plats à emporter, Séminaire, Service en terrasse, WiFi",,02 40 74 09 87,,23 rue du Port Guichard,"[47.2320077, -1.544704]"
136,CAFÉ-RESTAURANT GOGAILLE,Cuisine traditionnelle,SUCE-SUR-ERDRE,44240,oui,,,,,cafe.gogaille@gmail.com,9 Place Aristide Briand,"[47.34145, -1.5266]"
137,CUIT LU CRU,,NANTES,44100,,,,www.cuitlucru-restaurant.com,02 40 74 09 27,cuitlucru@gmail.com,5 rue Châteaubriand,"[47.2215869, -1.5550948]"
138,DOMAINE D'ORVAULT (LE),,ORVAULT,44700,,,,www.domaine-orvault.com,02.40.76.84.02,contact@domaine-orvault.com,Chemin des Marais du Cens,"[47.2589956, -1.5898053]"
139,KEBAB PONT MARTIN,Restauration rapide,PONT-SAINT-MARTIN,44860,oui,,Plats à emporter,,09 77 30 11 05,,9 Rue de Nantes,"[47.123937, -1.5843543]"
140,Restaurant le Vigneron,Cuisine traditionnelle,HAUTE-GOULAINE,44115,,,,,02 40 54 90 69,hoteldelalouee@wanadoo.fr,HOTEL DE LA LOUEE,"[47.1859589, -1.4428337]"
141,SONG SAVEURS ET SENS,Cuisine du Monde,NANTES,44000,,,,http://www.restaurant-song.fr,02 40 20 88 07,,5 rue de Santeuil,"[47.21343, -1.5603806]"
